abegging,"ks.,kk. tidak diinginkan.Scholarships often go a.  Beasiswa-beasiswa sering tak dimanfaatkan."
aberrant,ks. yang menyimpang dari kebiasaan  a. behavior tingkah laku yang menyimpang dari kebiasaan
aberration,"kb. penyimpangan, penyelewengan, keluar-kebiasaan, sikap/tindakan yang berlainan."
abet,kkt. (abetted) bersekongkol dengan. He abetted his companion in the theft Ia bersekongkol dengan temannya dalam pencurian itu.
abetment,kb.. penghasutan.
abettor,"kb. kaki tangan,  penolong dalam kejahatan."
abeyance,"kb. penundaan. in a. terkatung--       katung, ditangguhkan. The matter was held in a. until the committee  presented its report Masalah itu untuk sementara ditangguhkan pembahasannya. menunggu sampai panitia  menyampaikan laporannya."
abhor,kkt. (abhorred) benci akan. tidak menyukai. I a. his wickedness  Saya benci akan kejahatannya. Nature     abhors a vacuum Alam tidak menyukai kehampaan.
abhorred,"kb. benci, kebencian, kejijikan, kemualan.  his a. of corruption kebenciannya akan kecurangan."
abhorrent,"ks. benci, jijik. The murder was a. to him Pembunuhan itu menjijikkan baginya."
abide,"--kki. 1 ada. Hope still abides Harapan masih ada. 2 tinggal, diam. to a. in the forest tinggal/berdiam di hutan."
abiding,"ks. kekal, tak kunjung hilang. he has an a. interest in money  Ia mempunyai perhatian yang tak kunjung hilang  terhadap uang."
ability,"kb. ( j.-ties) 1 kecakapan, bakat, kemampuan. 2 kemampuan. 3 ketangkasan. 4 kesanggupan."
abject,"ks. hina (papa), hina dina, rendah. a. poverty kemiskinan yang hina papa."
ablative,"ks. ablatif, kasus kelima."
ablaze,ks. 1 terbakar berkobar-kobar. The building was a. Gedung itu sedang terbakar berkobar-kobar. 2 terang benderang.  The street was a. with lights Jalan itu terang benderang.
able,"ks. 1 dapat, bisa, sanggup, mampu. 2 cakap, trampil. 3 berwewenang.4 yang menunjukkan kecakapan."
ablution,"kb. pembersihan, pencucian. ritual a. wudu"
abnormal,"ks. 1 abnormal, aneh. a. behavior tingkahlaku yang tidak normal. a. psychology psikologi abnormal. 2 luar biasa, abnormal."
abnormality,kb. (j. -ties) 1 kelainan. a. of the thumb kelainan dari ibu jari. 2 ketidaknormalan.
aboard,"kk. 1 di (atas, dalam). 2 naik"
abode,kb. 1 tempat kediaman. This is my humble a. Inilah gubuk saya. 2  lih. ABIDE.
abolish,"kkt. menghapuskan, mengakhiri, meniadakan. to a. slavery menghapuskan perbudakan."
abolishment,kb. penghapusan. a. of secret organizations penghapusan dari organisasi rahasia.
abolition,"kb. penghapusan, pembasmian, abolisi. a. of slavery penghapusan dari perbudakan."
abolitionist,"kb. anggota gerakan penghapusan s.s.t., seorang yang ingin menghapuskan s.s.t."
abominable,"ks. buruk sekali (of food, style)."
abomination,kb.s.s.t.yang (sangat) dibenci. Exams are an a. Ujian adalah s.s.t. yang dibenci
